"Kod";"Nazwa";"ogółem;lisy;1999;[tys. szt.]";"ogółem;lisy;2000;[tys. szt.]";"ogółem;lisy;2001;[tys. szt.]";"ogółem;lisy;2002;[tys. szt.]";"ogółem;lisy;2003;[tys. szt.]";"ogółem;lisy;2004;[tys. szt.]";"ogółem;lisy;2005;[tys. szt.]";"ogółem;lisy;2006;[tys. szt.]";"ogółem;lisy;2007;[tys. szt.]";"ogółem;lisy;2008;[tys. szt.]";"ogółem;lisy;2009;[tys. szt.]";"ogółem;lisy;2010;[tys. szt.]";"ogółem;lisy;2011;[tys. szt.]";"ogółem;lisy;2012;[tys. szt.]";"ogółem;lisy;2013;[tys. szt.]";"ogółem;lisy;2014;[tys. szt.]";"ogółem;lisy;2015;[tys. szt.]";"ogółem;lisy;2016;[tys. szt.]";"ogółem;lisy;2017;[tys. szt.]";"ogółem;lisy;2018;[tys. szt.]";"ogółem;lisy;2019;[tys. szt.]";
0000000;"POLSKA";;145,1;160,7;163,6;184,8;187,2;201,2;218,8;215,4;209,5;203,3;198,3;211,9;209,6;213,8;204,6;202,4;202,5;199,9;192,0;192,2;
0200000;"DOLNOŚLĄSKIE";;12,6;12,8;13,0;13,6;12,7;12,6;12,9;10,9;11,1;11,5;11,6;11,7;12,4;13,2;12,9;12,4;12,7;12,6;12,4;12,8;
0400000;"KUJAWSKO-POMORSKIE";;8,6;9,4;9,8;10,7;11,2;12,4;12,7;13,4;12,7;11,2;10,8;12,0;12,0;12,0;12,2;11,5;11,6;11,3;11,1;11,2;
0600000;"LUBELSKIE";;9,4;10,8;10,3;11,4;14,0;17,7;20,6;18,2;16,5;17,6;18,5;21,2;20,9;20,5;18,5;17,8;16,7;15,7;15,2;15,2;
0800000;"LUBUSKIE";;7,0;7,7;8,1;8,9;7,9;8,1;8,9;8,2;8,4;8,0;7,7;8,1;9,2;9,5;9,5;9,5;9,6;9,4;8,7;8,2;
1000000;"ŁÓDZKIE";;5,4;6,7;7,3;8,5;8,6;9,0;9,7;10,7;10,1;9,7;9,5;9,6;9,8;10,4;10,1;10,6;11,6;11,6;11,3;11,1;
1200000;"MAŁOPOLSKIE";;5,1;6,0;5,8;6,9;7,3;8,3;9,2;9,5;10,3;10,5;9,7;9,9;10,4;10,5;9,5;9,0;9,4;9,5;9,9;10,2;
1400000;"MAZOWIECKIE";;10,3;12,7;12,4;15,7;17,4;19,1;21,7;22,6;20,5;19,9;19,9;21,6;22,4;21,4;20,5;20,6;20,8;20,2;19,6;20,2;
1600000;"OPOLSKIE";;4,8;5,2;5,5;6,0;5,1;5,8;5,9;5,2;5,2;6,1;5,9;5,6;6,1;6,1;5,8;6,1;6,6;6,6;6,1;6,2;
1800000;"PODKARPACKIE";;5,7;5,9;6,6;8,7;9,5;11,2;12,0;11,7;11,9;11,7;11,7;12,0;12,4;12,4;11,3;11,1;11,1;11,3;11,1;10,8;
2000000;"PODLASKIE";;5,4;5,1;5,1;6,2;6,9;8,2;10,4;11,2;10,4;10,5;10,1;12,8;13,5;14,5;13,6;13,6;12,8;12,3;11,9;11,7;
2200000;"POMORSKIE";;11,0;11,5;12,2;12,2;12,0;12,8;13,4;13,1;13,7;12,2;11,7;12,4;12,7;13,4;13,0;12,8;12,6;12,6;12,1;11,8;
2400000;"ŚLĄSKIE";;6,2;7,3;7,1;8,1;7,1;7,3;7,6;7,7;7,7;7,9;8,0;8,2;8,8;8,8;8,3;8,7;8,7;8,9;8,4;8,3;
2600000;"ŚWIĘTOKRZYSKIE";;3,9;4,6;4,6;5,9;6,2;6,6;7,1;6,9;7,1;6,8;6,2;6,6;6,6;6,5;6,1;6,1;6,2;6,2;6,3;6,3;
2800000;"WARMIŃSKO-MAZURSKIE";;8,1;9,5;11,1;14,6;15,6;16,0;18,0;18,4;18,4;17,4;15,6;16,8;17,1;18,0;17,5;17,2;16,0;16,0;14,8;14,6;
3000000;"WIELKOPOLSKIE";;17,4;18,7;18,5;19,9;19,8;19,1;20,8;20,4;19,2;19,4;18,9;19,5;19,2;20,0;19,9;20,2;20,4;20,3;18,8;19,7;
3200000;"ZACHODNIOPOMORSKIE";;13,8;14,2;15,7;16,0;15,1;15,5;16,0;15,4;15,3;12,8;12,9;15,0;15,9;16,6;15,9;15,5;15,6;15,3;14,3;13,9;
